Simulation,Hand,Flop,Turn,River,Player Hand,Community Cards
1,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
2,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
3,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
4,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
5,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
6,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
7,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
8,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
9,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
10,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
11,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
12,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
13,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
14,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
15,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
16,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
17,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
18,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
19,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
20,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
21,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
22,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
23,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
24,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
25,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
26,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
27,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
28,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
29,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
30,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
31,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
32,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
33,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
34,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
35,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
36,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
37,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
38,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
39,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
40,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
41,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
42,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
43,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
44,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
45,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
46,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
47,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
48,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
49,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
50,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
51,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
52,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
53,100.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
54,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
55,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
56,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
57,100.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
58,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
59,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
60,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
61,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
62,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
63,0.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
64,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
65,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
66,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
67,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
68,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
69,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
70,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
71,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
72,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
73,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
74,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
75,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
76,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
77,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
78,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
79,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
80,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
81,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
82,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
83,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
84,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
85,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
86,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
87,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
88,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
89,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
90,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
91,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
92,100.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
93,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
94,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
95,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
96,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
97,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
98,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
99,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
100,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
101,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
102,100.0,0.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
103,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
104,100.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
105,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
106,0.0,0.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
107,100.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
108,0.0,0.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
109,100.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
110,0.0,100.0,0.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
111,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
112,100.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
113,100.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
114,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
115,0.0,100.0,100.0,0.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
116,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
117,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
118,100.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
119,0.0,0.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
120,0.0,100.0,100.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
121,0.0,100.0,0.0,100.0,"8 of Clubs, 8 of Hearts","4 of Diamonds, 4 of Clubs, 4 of Spades, 9 of Diamonds, Jack of Diamonds"
